A_NAS_ID,User_ID,IP_Address,Action,Dated,Browser_Used,NASReport_ID
1,3,180.191.65.36,Created the summary report.,2021-12-09 02:49:14.000,Chrome,1
2,5,59.100.129.30,Created the summary report.,2021-12-10 05:37:18.000,Chrome,2
3,5,59.100.129.30,Edited Credit Limit details.,2021-12-10 05:38:23.000,Chrome,2
4,5,59.100.129.30,Commented `#1013 Anthony Raffa - A3 ALL Gold Regular Member. No follow-up required.` in Report 01. Credit Limit Report.,2021-12-10 05:38:56.000,Chrome,2
5,5,59.100.129.30,Commented `Paid Out: Nil` in Report 02. Front Office Paid Out Report.,2021-12-10 05:39:09.000,Chrome,2
6,5,59.100.129.30,Edited Adjustment and Correction details.,2021-12-10 05:39:20.000,Chrome,2
7,5,59.100.129.30,Approved report 03. Adjustment & Corrections.,2021-12-10 05:39:23.000,Chrome,2
8,5,59.100.129.30,Commented `#666793 & #666805 Ben Monaghan checked in after roll at 4am on 10/12/21` in Report 04. No Show Rooms.,2021-12-10 05:40:05.000,Chrome,2
9,5,59.100.129.30,Commented `14 x Leave Rooms` in Report 05. Out of Order/ Service Room.,2021-12-10 05:40:25.000,Chrome,2
10,5,59.100.129.30,Commented `Nil` in Report 06. Complimentary Room Report.,2021-12-10 05:41:23.000,Chrome,2
11,5,59.100.129.30,Commented `DAF Night: 1` in Report 07. Rate Check Report.,2021-12-10 05:41:35.000,Chrome,2
12,5,59.100.129.30,Edited PM/PX Accounts details.,2021-12-10 05:41:42.000,Chrome,2
13,5,59.100.129.30,Commented `4 x Credit & 2 x Debit` in Report 08. PM/ PX Accounts.,2021-12-10 05:42:00.000,Chrome,2
14,5,59.100.129.30,Approved report 08.1. NA16.,2021-12-10 05:42:04.000,Chrome,2
15,5,59.100.129.30,Approved report 09. Ogone Deposit Posting Report.,2021-12-10 05:42:35.000,Chrome,2
16,5,59.100.129.30,Approved report 10. Room Reconciliation Report.,2021-12-10 05:42:38.000,Chrome,2
17,5,59.100.129.30,Approved report 11. CC Surcharge Report.,2021-12-10 05:42:40.000,Chrome,2
18,5,59.100.129.30,Commented `$2000 in balance` in Report 12. DM Float Log.,2021-12-10 05:43:04.000,Chrome,2
19,5,59.100.129.30,"Commented `Total Revenue: $13815
Occupancy: 28.9%
ADR: $168.61` in Report 13. DMR.",2021-12-10 05:43:31.000,Chrome,2
20,5,59.100.129.30,Edited F&B Comp. & Void Audit details.,2021-12-10 05:43:56.000,Chrome,2
21,5,59.100.129.30,Approved report 14. F & B Comp. & Void Audit.,2021-12-10 05:43:57.000,Chrome,2
22,5,59.100.129.30,Approved report 15. Checklists.,2021-12-10 05:44:15.000,Chrome,2
23,5,59.100.129.30,Commented `1 x Manual Transaction by AM Kitti as points did not get credited automatically by the system` in Report 16. Loyalty Points Audit.,2021-12-10 05:45:12.000,Chrome,2
24,5,59.100.129.30,Submitted the summary report.,2021-12-10 05:45:20.000,Chrome,2
25,5,59.100.129.30,Created the summary report.,2021-12-11 05:04:38.000,Chrome,3
26,5,59.100.129.30,Edited Credit Limit details.,2021-12-11 06:38:03.000,Chrome,3
27,5,59.100.129.30,Commented `#910 Adam Rosenbaum A2 ALL silver member & #1013 Anthony Raffa A3 ALL Gold Regular Member. No follow up required. #901 Mathew Dickinson (C/O 12/12) covering #902 Ben Smithers - CC Declined. AM to follow up with accommodation payment` in Report 01. Credit Limit Report.,2021-12-11 06:40:13.000,Chrome,3
28,5,59.100.129.30,Commented `#910 Adam Rosenbaum A2 ALL silver member & #1013 Anthony Raffa A3 ALL Gold Regular Member. No follow up required. #901 Mathew Dickinson (C/O 12/12) covering #902 Ben Smithers current balance $697 - CC Declined. AM to follow up with accommodation payment` in Report 01. Credit Limit Report.,2021-12-11 06:41:24.000,Chrome,3
29,5,59.100.129.30,Commented `Nil` in Report 02. Front Office Paid Out Report.,2021-12-11 06:41:38.000,Chrome,3
30,5,59.100.129.30,Edited Adjustment and Correction details.,2021-12-11 06:41:47.000,Chrome,3
31,5,59.100.129.30,Approved report 03. Adjustment & Corrections.,2021-12-11 06:41:49.000,Chrome,3
32,5,59.100.129.30,Commented `#662826 Sharon Holt` in Report 04. No Show Rooms.,2021-12-11 06:42:06.000,Chrome,3
33,5,59.100.129.30,Commented `2 x Leave Rooms (#318 & #715) & 1 x Maintenance (#326)` in Report 05. Out of Order/ Service Room.,2021-12-11 06:42:38.000,Chrome,3
34,5,59.100.129.30,Approved report 06. Complimentary Room Report.,2021-12-11 06:42:56.000,Chrome,3
35,5,59.100.129.30,Commented `Nil` in Report 06. Complimentary Room Report.,2021-12-11 06:43:03.000,Chrome,3
36,5,59.100.129.30,Commented `DAF Night: 1` in Report 07. Rate Check Report.,2021-12-11 06:43:10.000,Chrome,3
37,5,59.100.129.30,Edited PM/PX Accounts details.,2021-12-11 06:43:15.000,Chrome,3
38,5,59.100.129.30,Commented `4 x Credit & 3 x Debit` in Report 08. PM/ PX Accounts.,2021-12-11 06:43:33.000,Chrome,3
39,5,59.100.129.30,Approved report 08.1. NA16.,2021-12-11 06:43:53.000,Chrome,3
40,5,59.100.129.30,Commented `1 x Amex Transaction of $344 for Henry T H Lim will appear in Ogone on 11/12/21` in Report 09. Ogone Deposit Posting Report.,2021-12-11 06:44:42.000,Chrome,3
41,5,59.100.129.30,Approved report 10. Room Reconciliation Report.,2021-12-11 06:45:05.000,Chrome,3
42,5,59.100.129.30,Approved report 11. CC Surcharge Report.,2021-12-11 06:45:08.000,Chrome,3
43,5,59.100.129.30,Commented `$2000 in balance` in Report 12. DM Float Log.,2021-12-11 06:45:28.000,Chrome,3
44,5,59.100.129.30,"Commented `Total Revenue: $35201 
Occupancy: 66%
ADR: $183.78` in Report 13. DMR.",2021-12-11 06:46:12.000,Chrome,3
45,5,59.100.129.30,Edited F&B Comp. & Void Audit details.,2021-12-11 06:46:47.000,Chrome,3
46,5,59.100.129.30,Approved report 14. F & B Comp. & Void Audit.,2021-12-11 06:46:50.000,Chrome,3
47,5,59.100.129.30,Approved report 15. Checklists.,2021-12-11 06:47:06.000,Chrome,3
48,5,59.100.129.30,Approved report 16. Loyalty Points Audit.,2021-12-11 06:47:38.000,Chrome,3
49,5,59.100.129.30,Commented `No Transaction` in Report 16. Loyalty Points Audit.,2021-12-11 06:47:46.000,Chrome,3
50,5,59.100.129.30,Submitted the summary report.,2021-12-11 06:47:49.000,Chrome,3
51,5,59.100.129.30,Created the summary report.,2021-12-12 06:23:09.000,Chrome,4
52,5,59.100.129.30,Edited Credit Limit details.,2021-12-12 07:20:28.000,Chrome,4
53,5,59.100.129.30,Commented `#1013 Anthony Raffa - A3 ALL Gold Regular Member. No follow up required.` in Report 01. Credit Limit Report.,2021-12-12 07:22:16.000,Chrome,4
54,5,59.100.129.30,Commented `Nil` in Report 02. Front Office Paid Out Report.,2021-12-12 07:22:26.000,Chrome,4
55,5,59.100.129.30,Edited Adjustment and Correction details.,2021-12-12 07:22:42.000,Chrome,4
56,5,59.100.129.30,Approved report 03. Adjustment & Corrections.,2021-12-12 07:23:10.000,Chrome,4
57,5,59.100.129.30,Edited No Show Rooms details.,2021-12-12 07:23:27.000,Chrome,4
58,5,59.100.129.30,Commented `No Show with deposit moved to PM #9007 Phoung Dang` in Report 04. No Show Rooms.,2021-12-12 07:24:21.000,Chrome,4
59,5,59.100.129.30,Commented `2 x Isolation leave rooms (#318 & #715)` in Report 05. Out of Order/ Service Room.,2021-12-12 07:24:53.000,Chrome,4
60,5,59.100.129.30,Approved report 06. Complimentary Room Report.,2021-12-12 07:24:57.000,Chrome,4
61,5,59.100.129.30,Commented `DAF Night: 3` in Report 07. Rate Check Report.,2021-12-12 07:25:30.000,Chrome,4
62,5,59.100.129.30,Edited PM/PX Accounts details.,2021-12-12 07:25:36.000,Chrome,4
63,5,59.100.129.30,Commented `4 x Credit & 3 x Debit` in Report 08. PM/ PX Accounts.,2021-12-12 07:25:48.000,Chrome,4
64,5,59.100.129.30,Approved report 08.1. NA16.,2021-12-12 07:26:07.000,Chrome,4
65,5,59.100.129.30,Approved report 09. Ogone Deposit Posting Report.,2021-12-12 07:26:18.000,Chrome,4
