ID,Summary_Group,Summary_Type,FormatCode,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Total,BatchNo,AuditDate,Hotel_ID
1,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070026,2021-12-19,1
2,Key Staticstics,Room Occupied,N,44.00,58.00,46.00,44.00,105.00,137.00,35.00,469.00,20220419-070026,2021-12-19,1
3,Key Staticstics,# of Guest,N,72.00,89.00,80.00,73.00,174.00,260.00,63.00,811.00,20220419-070026,2021-12-19,1
4,Key Staticstics,Room Density,N2,1.64,1.53,1.74,1.66,1.66,1.90,1.80,1.73,20220419-070026,2021-12-19,1
5,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
6,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
7,Key Staticstics,Occupancy %,P,17.19,22.66,17.97,17.19,41.02,53.52,13.67,26.17,20220419-070026,2021-12-19,1
8,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
9,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070026,2021-12-19,1
10,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
11,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
12,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
13,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070026,2021-12-19,1
14,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070026,2021-12-19,1
15,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
16,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
