S_NightAudit_ID,User_ID,IP_Address,Action,Dated,Browser_Used,ReportRun_ID
1,3,180.191.65.36,Viewed Credit Limit Report Output Details,2021-12-09 03:05:54.000,Chrome,18
2,3,180.191.65.36,Viewed FO Paid Out Report Output Details,2021-12-09 03:06:04.000,Chrome,17
3,3,180.191.65.36,Viewed Adjustment and Correction Report Output Details,2021-12-09 03:06:21.000,Chrome,9
4,3,180.191.65.36,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-09 03:06:37.000,Chrome,14
6,5,59.100.129.30,Viewed Adjustment and Correction Report Output Details,2021-12-10 01:59:34.000,Chrome,20
8,5,59.100.129.30,Viewed Out of Order Service Rooms Report Output Details,2021-12-10 01:59:51.000,Chrome,23
10,3,180.191.65.36,Viewed Rate Check Report Output Details,2021-12-10 04:37:06.000,Chrome,22
12,3,180.191.65.36,Viewed Rate Check Report Output Details,2021-12-10 05:27:43.000,Chrome,22
13,3,180.191.65.36,Viewed Ogone Deposit Posting Report Output Details,2021-12-10 05:28:07.000,Chrome,24
17,5,59.100.129.30,Viewed Rate Check Report Output Details,2021-12-11 02:47:29.000,Chrome,35
20,5,59.100.129.30,Viewed Rate Check Report Output Details,2021-12-11 02:49:49.000,Chrome,35
21,13,112.204.162.118,Viewed CC Surcharge Report Output Details,2021-12-11 03:42:36.000,Chrome,38
23,5,59.100.129.30,Viewed No Shows Report Output Details,2021-12-11 05:02:31.000,Chrome,40
28,5,59.100.129.30,Viewed Rate Check Report Output Details,2021-12-12 03:10:53.000,Chrome,47
29,5,59.100.129.30,Viewed Rate Check Report Output Details,2021-12-12 03:20:21.000,Chrome,51
30,10,59.100.129.30,Viewed CC Surcharge Report Output Details,2021-12-13 02:51:26.000,Chrome,57
31,10,59.100.129.30,Viewed Adjustment and Correction Report Output Details,2021-12-13 02:53:11.000,Chrome,58
32,10,59.100.129.30,Viewed Adjustment and Correction Report Output Details,2021-12-13 02:56:06.000,Chrome,58
38,10,59.100.129.30,Viewed Room Reconciliation Before Roll Report Output Details,2021-12-13 03:10:16.000,Chrome,63
39,10,59.100.129.30,Viewed Rate Check Report Output Details,2021-12-13 03:13:06.000,Chrome,64
41,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-13 04:32:48.000,Chrome,66
42,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-13 04:59:00.000,Chrome,66
45,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-13 05:01:47.000,Chrome,66
46,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-13 05:04:24.000,Chrome,66
51,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-13 05:12:08.000,Chrome,66
52,10,59.100.129.30,Viewed No Shows Report Output Details,2021-12-13 05:13:11.000,Chrome,67
55,10,59.100.129.30,Viewed Credit Limit Report Output Details,2021-12-13 05:14:42.000,Chrome,70
59,14,112.200.198.1,Viewed CC Surcharge Report Output Details,2021-12-13 13:58:01.000,Chrome,71
60,14,112.200.198.1,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-13 14:41:28.000,Chrome,78
61,14,112.200.198.1,Viewed Room Reconciliation After Roll Report Output Details,2021-12-13 14:42:44.000,Chrome,79
62,14,112.200.198.1,Viewed Room Reconciliation Before Roll Report Output Details,2021-12-13 15:02:09.000,Chrome,83
63,14,112.200.198.1,Viewed CC Surcharge Report Output Details,2021-12-13 15:06:29.000,Chrome,71
65,10,59.100.129.30,Viewed Adjustment and Correction Report Output Details,2021-12-14 02:25:49.000,Chrome,92
66,10,59.100.129.30,Viewed PM PX Accounts Report Output Details,2021-12-14 02:33:46.000,Chrome,93
76,10,59.100.129.30,Viewed FO Paid Out Report Output Details,2021-12-14 04:28:51.000,Chrome,102
79,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-14 04:57:23.000,Chrome,109
82,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-14 05:08:48.000,Chrome,109
84,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-14 05:10:36.000,Chrome,109
85,10,59.100.129.30,Viewed Ogone Deposit Posting Report Output Details,2021-12-14 05:11:03.000,Chrome,96
86,13,112.204.162.118,Viewed CC Surcharge Report Output Details,2021-12-14 05:13:45.000,Chrome,57
89,13,112.204.162.118,Viewed Rate Check Report Output Details,2021-12-14 05:22:28.000,Chrome,65
90,13,112.204.162.118,Viewed Out of Order Service Rooms Report Output Details,2021-12-14 05:22:33.000,Chrome,61
5,4,110.93.83.90,Viewed CC Surcharge Report Output Details,2021-12-10 01:42:20.000,Chrome,19
7,5,59.100.129.30,Viewed Rate Check Report Output Details,2021-12-10 01:59:48.000,Chrome,22
9,3,180.191.65.36,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-10 03:48:49.000,Chrome,27
11,3,180.191.65.36,Viewed Rate Check Report Output Details,2021-12-10 04:52:55.000,Chrome,22
14,3,180.191.65.36,Viewed Room Reconciliation Before Roll Report Output Details,2021-12-10 05:28:14.000,Chrome,25
15,3,180.191.65.36,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-10 05:28:23.000,Chrome,27
16,5,59.100.129.30,Viewed No Shows Report Output Details,2021-12-10 05:36:34.000,Chrome,28
18,5,59.100.129.30,Viewed Ogone Deposit Posting Report Output Details,2021-12-11 02:47:39.000,Chrome,33
19,5,59.100.129.30,Viewed Adjustment and Correction Report Output Details,2021-12-11 02:47:45.000,Chrome,37
22,13,112.204.162.118,Viewed Ogone Deposit Posting Report Output Details,2021-12-11 03:42:45.000,Chrome,33
24,5,59.100.129.30,Viewed FO Paid Out Report Output Details,2021-12-11 05:02:34.000,Chrome,42
25,5,59.100.129.30,Viewed Credit Limit Report Output Details,2021-12-11 05:02:36.000,Chrome,43
26,5,59.100.129.30,Viewed Credit Limit Report Output Details,2021-12-11 05:04:19.000,Chrome,43
27,4,110.93.83.90,Viewed Rate Check Report Output Details,2021-12-11 07:49:36.000,Chrome,35
33,10,59.100.129.30,Viewed Adjustment and Correction Report Output Details,2021-12-13 02:56:33.000,Chrome,58
34,10,59.100.129.30,Viewed PM PX Accounts Report Output Details,2021-12-13 02:57:44.000,Chrome,59
35,10,59.100.129.30,Viewed Rate Check Report Output Details,2021-12-13 03:00:17.000,Chrome,60
36,10,59.100.129.30,Viewed Out of Order Service Rooms Report Output Details,2021-12-13 03:02:42.000,Chrome,61
37,10,59.100.129.30,Viewed Ogone Deposit Posting Report Output Details,2021-12-13 03:07:36.000,Chrome,62
40,10,59.100.129.30,Viewed Rate Check Report Output Details,2021-12-13 03:17:11.000,Chrome,65
43,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-13 04:59:50.000,Chrome,66
44,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-13 05:00:25.000,Chrome,66
47,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-13 05:06:20.000,Chrome,66
48,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-13 05:07:28.000,Chrome,66
49,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-13 05:07:36.000,Chrome,66
50,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2021-12-13 05:08:11.000,Chrome,66
